cod_marca;cod_modelo;nome_modelo;ultimo_ano
7;5608;X3 XDRIVE 28i 3.0 258cv;2012
7;5497;X3 XDRIVE 35i/M-Sport 3.0 306cv Bi-Turbo;2017
7;7066;X4 XDRIVE 35i M-Sport 3.0 TB 306cv Aut.;2017
7;242;X5 3.0 4x4;2010
7;243;X5 4.4 4x4;2003
7;244;X5 4.8 4x4 V8 32V 360cv;2008
7;4585;X5 Endurance 4.8is 4x4 V8 32V 355cv Aut.;2010
7;4242;X5 Security 4.4 4x4 V8 32V;2006
7;5020;X5 Security 4.8is 4x4 V8 32V 355cv Aut.;2010
7;245;X5 Sport 4.4 4x4 V8 32V;2006
7;4331;X5 Sport 4.8 4x4 V8 32V 355cv;2010
7;7087;X5 XDRIVE 30d Full 3.0 258cv Diesel;2015
7;5356;X5 XDRIVE 35i 3.0 306cv Bi-Turbo;2015
7;6911;X5 XDRIVE 35i Full 3.0 306cv Bi-Turbo;2017
7;5357;X5 XDRIVE 50i 4.4  Bi-Turbo;2015
7;6710;X5 XDRIVE 50i M Sport 4.4 Bi-Turbo;2015
7;5590;X5 XDRIVE 50i Security 4.4 Bi-Turbo;2016
7;4746;X6 XDRIVE 50i 4.4 407cv Bi-Turbo;2015
7;7088;X6 XDRIVE 50i M Sport 4.4 Bi-Turbo;2016
7;246;Z3 2.8 Aut.;2000
7;247;Z3 2.8 Mec.;2001
7;248;Z3 3.0 24V Roadster 2p;2002
7;249;Z3 Roadster 1.9 Mec.;1999
7;4887;Z3 Roadster 2.8;2000
7;250;Z3 Roadster M 3.2;2002
7;4243;Z4 Coupé M 3.2 V6 24V 343cv;2008
7;4185;Z4 Roadster 2.0 150cv 2p;2009
7;251;Z4 Roadster 3.0 V6 24V Aut.;2008
7;4244;Z4 Roadster M 3.2 V6 24V 343cv;2008
7;6261;Z4 Roadster sDRIVE 20i 2.0 16V 2p Aut.;2016
7;4996;Z4 Roadster sDRIVE 23i 2.5 24V 204cv 2p;2012
7;4997;Z4 Roadster sDRIVE 35i 3.0 24V 306cv 2p;2014
7;252;Z4 Roadster Sport 3.0 24V 231cv Aut.;2003
7;253;Z8 5.0 V8;2001
123;4053;Buggy IV e V;2008
10;258;Deville/Eldorado 4.9;1995
10;259;Seville 4.6;1996
161;6379;Celer Hatch 1.5 16V Flex 5p;2017
161;5208;CIELO 1.6 16V 119cv  5p;2012
161;5209;CIELO Sedan 1.6 16V 119cv  4p;2012
161;5210;Face 1.3 16V/1.3 16V Flex.Mec.;2015
161;7089;QQ 1.0 ACT 12V 69cv 5p;2015
